# IrisCard/SetPositionList

RIGHT:&edit(,noicon){SetPositionListを編集};

**セット位置索引 [#setposition]
//本ページでは、武器、服、胸のイリスカードを記述

***武器 [#weapon]
|~No.|~名称|~レア度|~属性|~ベクトル|~備考|
|AC03-0020|[[厳島 美晴>IrisCard/ExIrisCard0#AC03-0020]]|&COLOR(#ffa500){''R''};|-|[[榊巫女>Iris/Explanation#tb_sakakiNoMiko]]||
|AC03-0060|[[ィアーリス>IrisCard/ExIrisCard0#AC03-0060]]|&COLOR(#ffa500){''R''};|-|[[女帝竜>Iris/Explanation#tb_empressDragon]]||
|AC03-1010|[[一色 真純>IrisCard/ExIrisCard0#AC03-1010]]|&COLOR(#0000ff){''UC''};|-|[[ピュア・ブライトネス>Iris/Explanation#tb_pureBrightness]]||
|AC03-2030|[[ディーナ・ウィザースプーン>IrisCard/ExIrisCard0#AC03-2030]]|''C''|-|[[白の大魔導師>Iris/Explanation#tb_whiteArchmage]]||
|AC03-2040|[[シルマリル>IrisCard/ExIrisCard0#AC03-2040]]|''C''|-|[[エルヴン・ハーミット>Iris/Explanation#tb_elvenHermit]]||
|AC04-0010|[[ウルズとコリンズ>IrisCard/ExIrisCard0#AC04-0010]]|&COLOR(#FF0099){''SR''};|-|[[深愛の絆>Iris/Explanation#tb_shinai]]||
|AC04-3040|[[ヘンピコ>IrisCard/ExIrisCard0#AC04-3040]]|''C''|-|[[マジックバースト>Iris/Explanation#tb_magic]]||
|AC04-3080|[[勝負師ダイン>IrisCard/ExIrisCard0#AC04-3080]]|''C''|-|[[絶投の極意>Iris/Explanation#tb_zettou]]||
|AC04-3090|[[ガッテンガー７>IrisCard/ExIrisCard0#AC04-3090]]|''C''|-|[[アーマービルダー>Iris/Explanation#tb_armor]]||
|AC04-4010|[[ハッピーアニバーサリー>IrisCard/NormalIrisCard#AC04-4010]]|&COLOR(#FF0099){''SR''};|-|[[基礎体力強化>Iris/Explanation#tb_hpup]]||
|~|~|~|~|[[基礎知力強化>Iris/Explanation#tb_mpup]]|~|
|~|~|~|~|[[基礎技術力強化>Iris/Explanation#tb_spup]]|~|
|AC04-5010|[[2月（バレンタイン）>IrisCard/NormalIrisCard#AC04-5010]]|&COLOR(#ffa500){''R''};|-|[[パッケージの心得>Iris/Explanation#tb_packag]]||
|AC04-5020|[[3月（ひなまつり）>IrisCard/NormalIrisCard#AC04-5020]]|&COLOR(#ffa500){''R''};|-|[[基礎体力強化>Iris/Explanation#tb_hpup]]||
|~|~|~|~|[[基礎知力強化>Iris/Explanation#tb_mpup]]|~|
|AC04-5030|[[12月（クリスマス）>IrisCard/NormalIrisCard#AC04-5030]]|&COLOR(#ffa500){''R''};|-|[[基礎体力強化>Iris/Explanation#tb_hpup]]||
|~|~|~|~|[[基礎技術力強化>Iris/Explanation#tb_spup]]|~|
|AC04-7010|[[1月（お正月）>IrisCard/NormalIrisCard#AC04-7010]]|''C''|-|[[基礎体力強化>Iris/Explanation#tb_hpup]]||
|AC04-7070|[[9月（お月見）>IrisCard/NormalIrisCard#AC04-7070]]|''C''|-|[[基礎知力強化>Iris/Explanation#tb_mpup]]||
|AC04-7090|[[11月（きのこ狩り）>IrisCard/NormalIrisCard#AC04-7090]]|''C''|-|[[基礎技術力強化>Iris/Explanation#tb_spup]]||
|AC06-0020|[[君に憑依☆>IrisCard/NormalIrisCard#AC06-0020]]|&COLOR(#FF0099){''SR''};|-|[[みんつく>Iris/Explanation#tb_mintsuku]]||
|~|~|~|~|[[基礎体力強化>Iris/Explanation#tb_hpup]]|~|
|~|~|~|~|[[アーマープラス>Iris/Explanation#tb_armorPlus]]|~|
|AC05-2010|[[マイスターセレナ>IrisCard/ExIrisCard0#AC05-2010]]|&COLOR(#0000ff){''UC''};|-|[[ウェポンビルダー>Iris/Explanation#tb_weapon]]|胸も可|
|~|~|~|~|[[アーマービルダー>Iris/Explanation#tb_armor]]|~|
|AC05-2030|[[アニムスとマリシャス>IrisCard/ExIrisCard0#AC05-2030]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#CC99FF):闇|-||
|AC05-3030|[[トランシーバー部隊>IrisCard/ExIrisCard0#AC05-3030]]|''C''|-|[[ロングレンジバースト>Iris/Explanation#tb_Lrange]]|限定　武器の射程：3以上|
|AC05-3090|[[レインボー発生マシーン>IrisCard/ExIrisCard0#AC05-3090]]|''C''|-|[[深愛の絆>Iris/Explanation#tb_shinai]]||
|AC06-1010|[[ヘブンリーガーデン>IrisCard/NormalIrisCard#AC06-1010]]|''C''|-|[[みんつく>Iris/Explanation#tb_mintsuku]]|武器/胸も可|
|~|~|~|~|[[豊作>Iris/Explanation#tb_housaku]]|~|
|AC06-1030|[[木漏れ日の中で>IrisCard/NormalIrisCard#AC06-1030]]|''C''|-|[[みんつく>Iris/Explanation#tb_mintsuku]]|武器/胸も可|
|~|~|~|~|[[慈愛の加護>Iris/Explanation#tb_jiai]]|~|
|AC06-1040|[[エリーナとマリオネット>IrisCard/NormalIrisCard#AC06-1040]]|''C''|-|[[みんつく>Iris/Explanation#tb_mintsuku]]|武器/胸も可|
|~|~|~|~|[[基礎技術力強化>Iris/Explanation#tb_spup]]|~|
|AC06-1050|[[正体不明>IrisCard/NormalIrisCard#AC06-1050]]|''C''|-|[[みんつく>Iris/Explanation#tb_mintsuku]]|武器も可|
|~|~|~|~|[[ウェポンプラス>Iris/Explanation#tb_weaponPlus]]|~|
|~|~|~|~|[[アーマープラス>Iris/Explanation#tb_armorPlus]]|~|
|AC06-1090|[[ヴァレリア特☆製スープ！>IrisCard/NormalIrisCard#AC06-1090]]|''C''|-|[[みんつく>Iris/Explanation#tb_mintsuku]]|武器/胸も可|
|~|~|~|~|[[基礎体力強化>Iris/Explanation#tb_hpup]]|~|
|AC06-1110|[[デコイ>IrisCard/NormalIrisCard#AC06-1110]]|''C''|-|[[みんつく>Iris/Explanation#tb_mintsuku]]|武器/胸も可|
|~|~|~|~|[[慈愛の加護>Iris/Explanation#tb_jiai]]|~|
|AC06-1130|[[しあわせをまねくねこ>IrisCard/NormalIrisCard#AC06-1130]]|''C''|-|[[みんつく>Iris/Explanation#tb_mintsuku]]|武器/胸も可|
|~|~|~|~|[[慈愛の加護>Iris/Explanation#tb_jiai]]|~|
|AC06-1150|[[マンドラ3匹>IrisCard/NormalIrisCard#AC06-1150]]|''C''|-|[[みんつく>Iris/Explanation#tb_mintsuku]]|武器/胸も可|
|~|~|~|~|[[豊作>Iris/Explanation#tb_housaku]]|~|
|AC07-0010|[[フシギなメイドさん>IrisCard/ExIrisCard0#AC07-0010]]|&COLOR(#FF0099){''SR''};|-|[[運搬の心得>Iris/Explanation#tb_Unpan]]|胸も可|
|~|~|~|~|[[深愛の絆>Iris/Explanation#tb_shinai]]|~|
|AC07-0020|[[夢の中のティタ>IrisCard/ExIrisCard0#AC07-0020]]|&COLOR(#FF0099){''SR''};|-|[[時空の導き手>Iris/Explanation#tb_Zikuu]]|胸も可|
|AC07-1030|[[メイオウ>IrisCard/ExIrisCard0#AC07-1030]]|&COLOR(#ffa500){''R''};|-|[[守りの心得>Iris/Explanation#tb_Mamori]]||
|AC07-2020|[[フェンサー>IrisCard/ExIrisCard0#AC07-2020]]|''C''|-|[[守りの心得>Iris/Explanation#tb_Mamori]]||
|AC07-2060|[[シャーマン>IrisCard/ExIrisCard0#AC07-2060]]|''C''|-|[[魔法の心得>Iris/Explanation#tb_Mahou]]|武器も可|
|AC07-2090|[[タタラベ>IrisCard/ExIrisCard0#AC07-2090]]|''C''|-|[[運搬の心得>Iris/Explanation#tb_Unpan]]||
|AC07-2100|[[ファーマー>IrisCard/ExIrisCard0#AC07-2100]]|''C''|-|[[大豊作>Iris/Explanation#tb_bhousaku]]||
|AC07-2110|[[レンジャー>IrisCard/ExIrisCard0#AC07-2110]]|''C''|-|[[運搬の心得>Iris/Explanation#tb_Unpan]]||
|~|~|~|~|[[守りの心得>Iris/Explanation#tb_Mamori]]|~|
|AC07-2120|[[マーチャント>IrisCard/ExIrisCard0#AC07-2120]]|''C''|-|[[運搬の心得>Iris/Explanation#tb_Unpan]]||
|AC08-0020|[[転送室のタイタス>IrisCard/ExIrisCard0#AC08-0020]]|&COLOR(#FF0099){''SR''};|-|[[白銀の護手>Iris/Explanation#tb_hakugin]]||
|AC08-1020|[[時を知る占い師レミア>IrisCard/ExIrisCard0#AC08-1020]]|&COLOR(#ffa500){''R''};|-|[[クリプティックフォース>Iris/Explanation#tb_crypticforce]]||
|AC08-2040|[[白の聖堂>IrisCard/ExIrisCard0#AC08-2040]]|&COLOR(#0000ff){''UC''};|-|[[白銀の護手>Iris/Explanation#tb_hakugin]]||
|AC08-3020|[[憑依システム>IrisCard/ExIrisCard0#AC08-3020]]|''C''|-|[[深愛の絆>Iris/Explanation#tb_shinai]]||
|AC08-3040|[[タイニーアイランド>IrisCard/ExIrisCard0#AC08-3040]]|''C''|-|[[初心の心得>Iris/Explanation#tb_Syosin]]||
|AC08-3050|[[ノーザン王国>IrisCard/ExIrisCard0#AC08-3050]]|''C''|-|[[マジックバースト>Iris/Explanation#tb_magic]]||
|AC09-0020|[[エミルドラゴン（人）>IrisCard/ExIrisCard0#AC09-0020]]|&COLOR(#FF0099){''SR''};|-|[[スティグマータ>Iris/Explanation#tb_stigmata]]||
|AC09-2030|[[騎士団演習>IrisCard/ExIrisCard0#AC09-2030]]|&COLOR(#0000ff){''UC''};|-|[[ラクーンフォート>Iris/Explanation#tb_RaccoonFort]]||
|AC09-3020|[[ジャイアントコッケー>IrisCard/ExIrisCard0#AC09-3020]]|''C''|-|[[ショートレンジバースト>Iris/Explanation#tb_Srange]]||
|AC09-3070|[[パートナーシステム>IrisCard/ExIrisCard0#AC09-3070]]|''C''|-|[[トップブリーダーの心得>Iris/Explanation#tb_topBreeder]]||
|AC10-0010|[[アイドルの卵、猫村いろは>IrisCard/ExIrisCard0#AC10-0010]]|&COLOR(#FF0099){''SR''};|-|[[プラチナキティラー>Iris/Explanation#tb_PlatinumKittira]]|胸も可|
|AC10-1010|[[フシギなＤＪ、水無瀬シズク>IrisCard/ExIrisCard0#AC10-1010]]|&COLOR(#ffa500){''R''};|-|[[KM８６．０>Iris/Explanation#tb_KM86]]|胸も可|
|AC10-1020|[[トレジャーハンター、蘭道鈴>IrisCard/ExIrisCard0#AC10-1020]]|&COLOR(#ffa500){''R''};|-|[[キティラー・マイスター>Iris/Explanation#tb_KittiraMeister]]|胸も可|
|AC10-1030|[[花屋のお姉さん、一花麗流>IrisCard/ExIrisCard0#AC10-1030]]|&COLOR(#ffa500){''R''};|-|[[”きゃわわ♪”なお花>Iris/Explanation#tb_kyawawa]]|胸も可|
|AC10-3010|[[音楽家志望のクリストファー>IrisCard/ExIrisCard0#AC10-3010]]|''C''|-|[[漆黒の徨手>Iris/Explanation#tb_sikkoku]]||
|AC10-3030|[[リオ>IrisCard/ExIrisCard0#AC10-3030]]|''C''|-|[[歌にかける情熱>Iris/Explanation#tb_utajounetu]]|胸も可|
|AC10-3040|[[橘みかん>IrisCard/ExIrisCard0#AC10-3040]]|''C''|-|[[見習い魔法使い>Iris/Explanation#tb_minaraiWizard]]|胸も可|
|AC10-3080|[[恋の天使、天風みさき>IrisCard/ExIrisCard0#AC10-3080]]|''C''|-|[[初心の心得>Iris/Explanation#tb_Syosin]]||
|AC10-3090|[[山邑カリナ>IrisCard/ExIrisCard0#AC10-3090]]|''C''|-|[[パッケージの心得>Iris/Explanation#tb_packag]]||
|AC10-3100|[[仲良しの学生、桃と咲希>IrisCard/ExIrisCard0#AC10-3100]]|''C''|-|[[慈愛の加護>Iris/Explanation#tb_jiai]]||
|AC11-1030|[[光の塔>IrisCard/ExIrisCard0#AC11-1030]]|&COLOR(#ffa500){''R''};|-|[[斬鉄の心得>Iris/Explanation#tb_zantetu]]||
|AC11-2020|[[巨大警備ロボ>IrisCard/ExIrisCard0#AC11-2020]]|&COLOR(#0000ff){''UC''};|-|[[攻撃の心得>Iris/Explanation#tb_Kogeki]]||
|AC11-2030|[[自称天才マシンナリー>IrisCard/ExIrisCard0#AC11-2030]]|&COLOR(#0000ff){''UC''};|-|[[アサルトブレイズン>Iris/Explanation#tb_assault_b]]||
|AC11-3030|[[ツンデレ少年とピーノ>IrisCard/ExIrisCard0#AC11-3030]]|''C''|-|[[アーマービルダー>Iris/Explanation#tb_armor]]||
|AC11-3060|[[プラチナム>IrisCard/ExIrisCard0#AC11-3060]]|''C''|-|[[マジックブレイズン>Iris/Explanation#tb_Magic_b]]||
|AC12-0010|[[あんず（冬用セーラー服）>IrisCard/ExIrisCard0#AC12-0010]]|&COLOR(#FF0099){''SR''};|-|[[深愛の絆>Iris/Explanation#tb_shinai]]||
|~|~|~|~|[[ボ、ボク男の子だよぅ>Iris/Explanation#tb_otokomusume]]|~|
|AC12-2040|[[石亀様>IrisCard/ExIrisCard0#AC12-2040]]|&COLOR(#0000ff){''UC''};|-|[[守りの心得>Iris/Explanation#tb_Mamori]]||
|~|~|~|~|[[アーマービルダー>Iris/Explanation#tb_armor]]|~|
|AC12-3050|[[マザードラゴ>IrisCard/ExIrisCard0#AC12-3050]]|''C''|-|[[攻撃の心得>Iris/Explanation#tb_Kogeki]]||
|AC12-3060|[[海を見ているコマンド>IrisCard/ExIrisCard0#AC12-3060]]|''C''|-|[[インテグレーション>Iris/Explanation#tb_integration]]||
|AC12-3070|[[遺跡ハンター>IrisCard/ExIrisCard0#AC12-3070]]|''C''|-|[[マーキュリーの喝采>Iris/Explanation#tb_Mercury]]||
|AC13-1010|[[白い本とムチャ>IrisCard/NormalIrisCard#AC13-1010]]|&COLOR(#ffa500){''R''};|-|[[基礎体力強化>Iris/Explanation#tb_hpup]]||
|~|~|~|~|[[慈愛の加護>Iris/Explanation#tb_jiai]]|~|
|AC13-2030|[[イーストDとカバリスト>IrisCard/NormalIrisCard#AC13-2030]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#CC99FF):闇|[[パッケージの心得>Iris/Explanation#tb_packag]]||
|AC13-2040|[[ノーザン王国のドルイド>IrisCard/NormalIrisCard#AC13-2040]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#CCFFFF):光|[[パッケージの心得>Iris/Explanation#tb_packag]]||
|AC13-3030|[[ノーザンDとエレメンタラー>IrisCard/NormalIrisCard#AC13-3030]]|''C''|BGCOLOR(#99CCFF):水|[[マジックプラス>Iris/Explanation#tb_masicPlus]]||
|AC13-3060|[[ファーイーストのアルケミスト>IrisCard/NormalIrisCard#AC13-3060]]|''C''|BGCOLOR(#99FFCC):土|[[豊作>Iris/Explanation#tb_housaku]]||
|AC14-0010|[[エイダ>IrisCard/ExIrisCard0#AC14-0010]]|&COLOR(#FF0099){''SR''};|-|[[技術力強化>Iris/Explanation#tb_gijutu]]||
|~|~|~|~|[[体力強化>Iris/Explanation#tb_tairyoku]]|~|
|AC14-2010|[[ネコマタ（白）との出会い>IrisCard/ExIrisCard0#AC14-2010]]|&COLOR(#0000ff){''UC''};|-|[[クリプティックフォース>Iris/Explanation#tb_crypticforce]]||
|AC14-3010|[[ヴァニー１号>IrisCard/ExIrisCard0#AC14-3010]]|''C''|-|[[ロックオン>Iris/Explanation#tb_LockOn]]||
|AC14-3070|[[ハガン>IrisCard/ExIrisCard0#AC14-3070]]|''C''|-|[[インテグレーション>Iris/Explanation#tb_integration]]||
|AC14-3080|[[ハーシェル>IrisCard/ExIrisCard0#AC14-3080]]|''C''|-|[[体力強化>Iris/Explanation#tb_tairyoku]]||
|AC14-3090|[[ＥＣＯタウンのドアマン>IrisCard/ExIrisCard0#AC14-3090]]|''C''|-|[[ラクーンフォート>Iris/Explanation#tb_RaccoonFort]]||
|AC15-1020|[[白（擬人化）>IrisCard/ExIrisCard0#AC15-1020]]|&COLOR(#ffa500){''R''};|-|[[ヴィーナスの歌声>Iris/Explanation#tb_Venus]]|武器も可|
|AC15-2030|[[ＤＥＭ－Ｓ・Ｆｉｒｅ>IrisCard/ExIrisCard0#AC15-2030]]|&COLOR(#0000ff){''UC''};|-|[[アサルトブレイズン>Iris/Explanation#tb_assault_b]]||
|AC15-3030|[[茜（擬人化）>IrisCard/ExIrisCard0#AC15-3030]]|''C''|-|[[技術力強化>Iris/Explanation#tb_gijutu]]||
|AC16-1020|[[タイタニア商人>IrisCard/ExIrisCard0#AC16-1020]]|&COLOR(#ffa500){''R''};|-|[[マーキュリーの喝采>Iris/Explanation#tb_Mercury]]||
|AC16-1030|[[ＤＥＭ－エレファント>IrisCard/ExIrisCard0#AC16-1030]]|&COLOR(#ffa500){''R''};|-|[[インテグレーション>Iris/Explanation#tb_integration]]|武器も可|
|AC16-2010|[[コレクター・ミシェル>IrisCard/ExIrisCard0#AC16-2010]]|&COLOR(#0000ff){''UC''};|-|[[知力強化>Iris/Explanation#tb_tiryoku]]||
|AC16-2040|[[ノーブルインス>IrisCard/ExIrisCard0#AC16-2040]]|&COLOR(#0000ff){''UC''};|-|[[唸る大胸筋>Iris/Explanation#tb_kyoukin]]||
|AC16-3010|[[バルーンピッグー>IrisCard/ExIrisCard0#AC16-3010]]|''C''|-|[[初心の心得>Iris/Explanation#tb_Syosin]]||
|AC16-3090|[[レジスタンスドクターとナース>IrisCard/ExIrisCard0#AC16-3090]]|''C''|-|[[白銀の護手>Iris/Explanation#tb_hakugin]]||
|AC17-0010|[[パーティの準備のお手伝い>IrisCard/ExIrisCard0#AC17-0010]]|&COLOR(#FF0099){''SR''};|-|[[深愛の絆>Iris/Explanation#tb_shinai]]|胸も可|
|AC17-0020|[[急襲アンデッドの城>IrisCard/ExIrisCard0#AC17-0020]]|&COLOR(#FF0099){''SR''};|-|[[フロントライン>Iris/Explanation#tb_Front]]|武器も可|
|AC17-2010|[[心苦しいがシナモン缶を……>IrisCard/ExIrisCard0#AC17-2010]]|&COLOR(#0000ff){''UC''};|-|[[ポテンシャルサポート>Iris/Explanation#tb_Potential]]||
|AC17-2020|[[逃げたうさぎ>IrisCard/ExIrisCard0#AC17-2020]]|&COLOR(#0000ff){''UC''};|-|[[漆黒の徨手>Iris/Explanation#tb_sikkoku]]||
|AC17-2030|[[偵察機を破壊せよ！>IrisCard/ExIrisCard0#AC17-2030]]|&COLOR(#0000ff){''UC''};|-|[[ロックオン>Iris/Explanation#tb_LockOn]]||
|AC17-3040|[[ボルトの収集依頼>IrisCard/ExIrisCard0#AC17-3040]]|''C''|-|[[アーマービルダー>Iris/Explanation#tb_armor]]||
|AC17-3050|[[高級羽毛布団の材料の入手>IrisCard/ExIrisCard0#AC17-3050]]|''C''|-|[[オフェンシブサポート>Iris/Explanation#tb_Offensive]]||
|AC18-0010|[[ロクオウ>IrisCard/ExIrisCard0#AC18-0010]]|&COLOR(#FF0099){''SR''};|-|[[トランスセンス>Iris/Explanation#tb_Transsense]]||
|AC18-0020|[[蘇る鼓動>IrisCard/ExIrisCard0#AC18-0020]]|&COLOR(#FF0099){''SR''};|-|[[インビジブルフォース>Iris/Explanation#tb_InvisibleForce]]||
|AC18-1020|[[シュブ・ニグラスとコニグラス>IrisCard/ExIrisCard0#AC18-1020]]|&COLOR(#ffa500){''R''};|-|[[時空の導き手>Iris/Explanation#tb_Zikuu]]||
|AC18-1030|[[旧時代様式リングハウス>IrisCard/ExIrisCard0#AC18-1030]]|&COLOR(#ffa500){''R''};|-|[[コンバットエンジニア>Iris/Explanation#tb_CombatEngineer]]||
|AC18-2020|[[クルウルウ・ゼロ>IrisCard/ExIrisCard0#AC18-2020]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#99CCFF):水|[[ラクーンフォート>Iris/Explanation#tb_RaccoonFort]]||
|AC18-3010|[[四人組の冒険者>IrisCard/ExIrisCard0#AC18-3010]]|''C''|-|[[体力強化>Iris/Explanation#tb_tairyoku]]||
|AC18-3020|[[ダン>IrisCard/ExIrisCard0#AC18-3020]]|''C''|-|[[技術力強化>Iris/Explanation#tb_gijutu]]||
|AC18-3040|[[探偵タイニーの犯人探し！>IrisCard/ExIrisCard0#AC18-3040]]|''C''|-|[[知力強化>Iris/Explanation#tb_tiryoku]]||
|AC18-3050|[[飛空城ブースの商人>IrisCard/ExIrisCard0#AC18-3050]]|''C''|-|[[運搬の心得>Iris/Explanation#tb_Unpan]]||
|AC18-3080|[[アメジストとの出会い>IrisCard/ExIrisCard0#AC18-3080]]|''C''|-|[[トップブリーダーの秘訣>Iris/Explanation#tb_topBreederhiketu]]||
|AC18-3090|[[ネコマタ（杏）との出会い>IrisCard/ExIrisCard0#AC18-3090]]|''C''|-|[[ボ、ボク男の子だよぅ>Iris/Explanation#tb_otokomusume]]||
|AC19-0010|[[ハスター>IrisCard/ExIrisCard0#AC19-0010]]|&COLOR(#FF0099){''SR''};|-|[[デスパレートアヴォイド>Iris/Explanation#tb_DesperateAvoid]]|武器も可|
|AC19-1010|[[農場タイニー>IrisCard/ExIrisCard0#AC19-1010]]|&COLOR(#ffa500){''R''};|-|[[体力強化>Iris/Explanation#tb_tairyoku]]|武器も可|
|AC19-2010|[[カルティー>IrisCard/ExIrisCard0#AC19-2010]]|&COLOR(#0000ff){''UC''};|-|[[エクセレントテイスト>Iris/Explanation#tb_excellentTaste]]||
|AC19-2020|[[南ウテナ開拓地>IrisCard/ExIrisCard0#AC19-2020]]|&COLOR(#0000ff){''UC''};|-|[[インテグレーション>Iris/Explanation#tb_integration]]||
|AC19-3040|[[ルシェドとノルン>IrisCard/ExIrisCard0#AC19-3040]]|''C''|-|[[技術力強化>Iris/Explanation#tb_gijutu]]||
|AC19-3060|[[監視インスマウス>IrisCard/ExIrisCard0#AC19-3060]]|''C''|-|[[守りの心得>Iris/Explanation#tb_Mamori]]||
|AC19-3070|[[イブルクック>IrisCard/ExIrisCard0#AC19-3070]]|''C''|-|[[ポテンシャルサポート>Iris/Explanation#tb_Potential]]||
|AC20-0010|[[守護魔・ウルゥ>IrisCard/NormalIrisCard#AC20-0010]]|&COLOR(#FF0099){''SR''};|-|[[基礎体力強化>Iris/Explanation#tb_hpup]]|胸も可|
|~|~|~|~|[[ピュアテイスト>Iris/Explanation#tb_pureTaste]]|~|
|AC20-0020|[[守護魔全員集合！>IrisCard/NormalIrisCard#AC20-0020]]|&COLOR(#FF0099){''SR''};|-|[[トップブリーダーの基礎>Iris/Explanation#tb_topBreederBase]]||
|AC20-2010|[[守護魔・ムツキ>IrisCard/NormalIrisCard#AC20-2010]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#CCFFFF):光|[[アーマープラス>Iris/Explanation#tb_armorPlus]]|武器も可|
|AC20-2020|[[守護魔・キサラギ>IrisCard/NormalIrisCard#AC20-2020]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#CC99FF):闇|[[基礎体力強化>Iris/Explanation#tb_hpup]]|武器も可|
|AC20-2030|[[守護魔・ヤヨイ>IrisCard/NormalIrisCard#AC20-2030]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#FFFF99):風|[[基礎知力強化>Iris/Explanation#tb_mpup]]|武器も可|
|AC20-2040|[[守護魔・ウヅキ>IrisCard/NormalIrisCard#AC20-2040]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#FFCCCC):火|[[斬鉄の心得>Iris/Explanation#tb_zantetu]]|武器も可|
|AC20-2050|[[守護魔・サツキ>IrisCard/NormalIrisCard#AC20-2050]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#99FFCC):土|[[基礎体力強化>Iris/Explanation#tb_hpup]]|武器も可|
|AC20-2060|[[守護魔・ミナヅキ>IrisCard/NormalIrisCard#AC20-2060]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#99CCFF):水|[[慈愛の加護>Iris/Explanation#tb_jiai]]|武器も可|
|AC20-2070|[[守護魔・フミツキ>IrisCard/NormalIrisCard#AC20-2070]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#99CCFF):水|[[ピュアテイスト>Iris/Explanation#tb_pureTaste]]|武器も可|
|AC20-2080|[[守護魔・ハヅキ>IrisCard/NormalIrisCard#AC20-2080]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#FFFF99):風|[[ウェポンプラス>Iris/Explanation#tb_weaponPlus]]|武器も可|
|AC20-2090|[[守護魔・キクヅキ>IrisCard/NormalIrisCard#AC20-2090]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#99FFCC):土|[[基礎技術力強化>Iris/Explanation#tb_spup]]|武器も可|
|AC20-2100|[[守護魔・カミア・カンナ>IrisCard/NormalIrisCard#AC20-2100]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#CCFFFF):光|[[慈愛の加護>Iris/Explanation#tb_jiai]]|武器も可|
|AC20-2110|[[守護魔・シモツキ>IrisCard/NormalIrisCard#AC20-2110]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#FFCCCC):火|[[ピュアテイスト>Iris/Explanation#tb_pureTaste]]|武器も可|
|AC20-2120|[[守護魔・ロウゲツ>IrisCard/NormalIrisCard#AC20-2120]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#CC99FF):闇|[[トップブリーダーの基礎>Iris/Explanation#tb_topBreederBase]]|武器も可|
|AC21-0010|[[ＤＥＭ－ＮＳ４４１０>IrisCard/ExIrisCard0#AC21-0010]]|&COLOR(#FF0099){''SR''};|-|[[スタミナリダクション>Iris/Explanation#tb_staminareduction]]||
|AC21-0020|[[ティタの大冒険>IrisCard/ExIrisCard0#AC21-0020]]|&COLOR(#FF0099){''SR''};|-|[[マジックリダクション>Iris/Explanation#tb_magicreduction]]||
|AC21-1030|[[釣堀>IrisCard/ExIrisCard0#AC21-1030]]|&COLOR(#ffa500){''R''};|-|[[ラクーンフォート>Iris/Explanation#tb_RaccoonFort]]||
|AC21-3010|[[ポロヌプリ>IrisCard/ExIrisCard0#AC21-3010]]|''C''|-|[[ファストサポート>Iris/Explanation#tb_fast]]||
|AC21-3020|[[イルスカニポポ>IrisCard/ExIrisCard0#AC21-3020]]|''C''|-|[[インテリジェンスサポート>Iris/Explanation#tb_Intelligence]]||
|AC21-3040|[[マタンキクル>IrisCard/ExIrisCard0#AC21-3040]]|''C''|-|[[オフェンシブサポート>Iris/Explanation#tb_Offensive]]||
|AC21-3060|[[釣りの宝箱>IrisCard/ExIrisCard0#AC21-3060]]|''C''|-|[[マーキュリーの喝采>Iris/Explanation#tb_Mercury]]||
|AC22-3120|[[天戒と一吾>IrisCard/NormalIrisCard#AC22-3120]]|''C''|BGCOLOR(#FFCCCC):火|-|武器も可|
|AC22-3130|[[染色娘>IrisCard/NormalIrisCard#AC22-3130]]|''C''|BGCOLOR(#99CCFF):水|-|武器も可|
|AC22-3140|[[ジョーカーお兄さん>IrisCard/NormalIrisCard#AC22-3140]]|''C''|BGCOLOR(#FFFF99):風|-|武器も可|
|AC22-3150|[[アルマジロン>IrisCard/NormalIrisCard#AC22-3150]]|''C''|BGCOLOR(#99FFCC):土|-|武器も可|
|AC22-3160|[[スケルトン>IrisCard/NormalIrisCard#AC22-3160]]|''C''|BGCOLOR(#CC99FF):闇|-|武器も可|
|AC22-3170|[[天駆ける虹色のモーモー>IrisCard/NormalIrisCard#AC22-3170]]|''C''|BGCOLOR(#CCFFFF):光|-|武器も可|
|AC22-3180|[[エミル君との出会い>IrisCard/NormalIrisCard#AC22-3180]]|''C''|-|[[HP最大上昇>Iris/Explanation#tb_HpMaxUp]]|武器/胸も可|
|AC23-0010|[[ベルゼビュート>IrisCard/ExIrisCard0#AC23-0010]]|&COLOR(#FF0099){''SR''};|-|[[フロントライン>Iris/Explanation#tb_Front]]|胸も可|
|AC23-0020|[[ノーライフキング>IrisCard/ExIrisCard0#AC23-0020]]|&COLOR(#FF0099){''SR''};|-|[[トランスセンス>Iris/Explanation#tb_Transsense]]|胸も可|
