# Iris/Ability/Table

#author("2017-04-27T15:44:05+00:00","","")
RIGHT:&edit(,noicon){アビリティベクトル表を編集};

***戦闘用・ステータス変化等 [#tb_Battle]
|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|c
|[[精霊種族ボーナス>Iris/Find/Vector#ElementBonus]]|&aname(tb_ElementBonus);精霊系基本本経験値上昇|''1''|1|''2''|2|''3''|3|''4''|4|''5''|5|
|~|COLOR(#0088CC):精霊系クリティカル率上昇|-|''1''|1|''2''|2|''3''|3|''4''|4|''5''|
|||||||||||||
|[[岩種族ボーナス>Iris/Find/Vector#RockBonus]]|&aname(tb_RockBonus);岩系基本本経験値上昇|''1''|1|''2''|2|''3''|3|''4''|4|''5''|5|
|~|COLOR(#0088CC):岩系クリティカル率上昇|-|''1''|1|''2''|2|''3''|3|''4''|4|''5''|
//
//
***パートナー系[#tb_Partner]
|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|c
|~アビリティベクトル|~リリースアビリティ|~Lv1|~Lv2|~Lv3|~Lv4|~Lv5|~Lv6|~Lv7|~Lv8|~Lv9|~Lv10|
|~|~|BGCOLOR(#DDDDDD):~&size(11){1～};|BGCOLOR(#DDDDDD):~&size(11){30～};|BGCOLOR(#DDDDDD):~&size(11){80～};|BGCOLOR(#DDDDDD):~&size(11){150～};|BGCOLOR(#DDDDDD):~&size(11){250～};|BGCOLOR(#DDDDDD):~&size(11){370～};|BGCOLOR(#DDDDDD):~&size(11){510～};|BGCOLOR(#DDDDDD):~&size(11){660～};|BGCOLOR(#DDDDDD):~&size(11){820～};|BGCOLOR(#DDDDDD):~&size(11){999};|
|LEFT:|LEFT:130|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|c
|[[トップブリーダーの心得>Iris/Find/Vector#topBreeder]]|&aname(tb_topBreeder);COLOR(#008800):パートナー用獲得経験値上昇|''10''|''15''|''20''|''30''|''40''|''50''|''60''|''80''|''90''|''100''|
|||||||||||||
|[[トップブリーダーの秘訣>Iris/Find/Vector#topBreederhiketu]]|&aname(tb_topBreederhiketu);COLOR(#008800):パートナーHP最大値＋上昇|''+300''|+300|+300|''+400''|+400|+400|''+700''|+700|+700|''+1000''|
|~|COLOR(#008800):パートナーHP回復率％上昇|-|''5%''|5%|5%|''15%''|15%|15%|''25%''|25%|25%|
|~|COLOR(#4444FF):HP最大値＋上昇    |-|-|''+800''|+800|+800|''+900''|+900|+900|''+1000''|+1000|
|||||||||||||
|[[パートナーの底力>Iris/Find/Vector#partnerLatentPower]]|&aname(tb_partnerLatentPower);COLOR(#FF8800):パートナーATK値＋上昇|''+10''|+10|''+15''|+15|''+25''|+25|''+35''|+35|+35|+35|
|~|COLOR(#FF8800):パートナーM.ATK値＋上昇|-|''+10''|+10|''+15''|+15|''+25''|+25|''+35''|+35|+35|
|~|COLOR(#FF8800):パートナーATK値％上昇  |-|-|-|-|-|-|-|-|''10%''|10%|
|~|COLOR(#FF8800):パートナーM.ATK値％上昇|-|-|-|-|-|-|-|-|-|''10%''|
|||||||||||||
|[[パートナーとの絆>Iris/Find/Vector#tiesOfPartner]]|&aname(tb_tiesOfPartner);COLOR(#008800):パートナーHP最大値＋上昇|''+300''|+300|+300|+300|+300|+300|+300|+300|+300|+300|
|~|COLOR(#008800):パートナー最大MP＋上昇|-|''+200''|+200|+200|+200|+200|+200|+200|+200|+200|
|~|COLOR(#008800):パートナー最大SP＋上昇|-|-|''+200''|+200|+200|+200|+200|+200|+200|+200|
|~|COLOR(#FF8800):パートナーDEF(-)＋上昇|-|-|-|''+50''|+50|+50|+50|+50|''+100''|+100|
|~|COLOR(#FF8800):パートナーM.DEF(-)＋上昇|-|-|-|-|''+50''|+50|+50|+50|+50|''+100''|
|~|COLOR(#008800):パートナーHP最大値％上昇|-|-|-|-|-|''10%''|10%|10%|10%|10%|
|~|COLOR(#008800):パートナー最大SP％上昇|-|-|-|-|-|-|''15%''|15%|15%|15%|
|~|COLOR(#008800):パートナー最大MP％上昇|-|-|-|-|-|-|-|''15%''|15%|15%|
|[[パートナーの護り>Iris/Find/Vector#guardOfPartner]]|&aname(tb_guardOfPartner);COLOR(#FF8800):パートナーDEF(-)＋上昇|''+20''|+20|+20|+20|+20|+20|+20|+20|+20|+20|
|~|COLOR(#FF8800):パートナーM.DEF(-)＋上昇|-|''+20''|+20|+20|+20|+20|+20|+20|+20|+20|
|~|COLOR(#008800):パートナーHP最大値％上昇|-|-|''5%''|''10%''|10%|10%|10%|''20%''|20%|20%|
|~|COLOR(#FF8800):パートナーDEF(％)＋上昇|-|-|-|-|''+5''|+5|+5|+5|''+15''|+15|
|~|COLOR(#FF8800):パートナーM.DEF(％)＋上昇|-|-|-|-|-|''+5''|+5|+5|+5|''+15''|
|~|COLOR(#008800):パートナーHP最大値＋上昇|-|-|-|-|-|-|''+3000''|+3000|+3000|+3000|
|||||||||||||
|[[パートナーの信頼>Iris/Find/Vector#trustOfPartner]]|&aname(tb_trustOfPartner);COLOR(#FF8800):パートナーDEF(-)＋上昇|''+30''|+30|+30|+30|+30|+30|+30|+30|+30|+30|
|~|COLOR(#FF8800):パートナーM.DEF(-)＋上昇|-|''+30''|+30|+30|+30|+30|+30|+30|+30|+30|
|~|COLOR(#008800):獲得パートナー信頼度＋上昇|-|-|''+30%''|+30%|+30%|+30%|''+40%''|+40%|+40%|''+50%''|
|~|COLOR(#008800):パートナーHP最大値％上昇|-|-|-|''10%''|10%|10%|10%|10%|10%|10%|
|~|COLOR(#FF8800):パートナーDEF(％)＋上昇|-|-|-|-|''+10''|+10|+10|''+15''|+15|+15|
|~|COLOR(#FF8800):パートナーM.DEF(％)＋上昇|-|-|-|-|-|''+10''|+10|+10|''+15''|+15|
|||||||||||||
|[[パートナーの援け>Iris/Find/Vector#helpOfPartner]]|&aname(tb_helpOfPartner);COLOR(#6666CC):次回食事時間％短縮|''5%''|5%|''10%''|10%|''15%''|15%|''20%''|20%|''25%''|25%|
|~|COLOR(#6666CC):負傷時間短縮（分）|-|''1''|1|''2''|2|''3''|3|''4''|4|''5''|
|||||||||||||
|[[パートナーの極意>Iris/Find/Vector#SecretOfPartner]]|&aname(tb_SecretOfPartner);COLOR(#FF8800):パートナー攻撃精度＋ 上昇|''5''|5|''5''|5|''5''|5|''5''|5|''5''|5|
|~|COLOR(#FF8800):パートナーフットワーク＋ 上昇|-|''5''|5|''5''|5|''5''|5|''5''|5|''5''|
|~|COLOR(#6666CC):負傷時間短縮（分）|-|-|''5''|5|''5''|5|''5''|5|''5''|5|
|~|COLOR(#FF8800):パートナー耐久力＋上昇|-|-|-|''5''|5|''5''|5|''5''|5|''5''|
|~|COLOR(#FF8800):パートナー精神力＋上昇|-|-|-|-|''5''|5|''5''|5|''5''|5|
|~|COLOR(#008800):獲得パートナー信頼度＋上昇|-|-|-|-|-|+40%|''+40%''|+40%|+40%|''+50%''|
|~|COLOR(#FF8800):パートナー近接攻撃＋上昇|-|-|-|-|-|-|5|''5''|5|''5''|
|~|COLOR(#FF8800):パートナー魔法攻撃＋上昇|-|-|-|-|-|-|-|''5''|5|''5''|
|~|COLOR(#008800):パートナー用獲得経験値上昇|-|-|-|-|-|-|-|-|80|''80''|
|||||||||||||
|[[トップブリーダーの基礎>Iris/Find/Vector#topBreederBase]]|&aname(tb_topBreederBase);COLOR(#008800):パートナー用獲得経験値上昇|''3''|''4''|4|4|''5''|5|5|''10''|10|10|
|~|COLOR(#008800):パートナーHP回復率％上昇|-|-|''3%''|3%|3%|''5%''|5%|5%|''10%''|10%|
|~|COLOR(#008800):パートナーHP最大値％上昇|-|-|-|''5%''|5%|5%|''10%''|10%|10%|''20%''|
|||||||||||||
|[[パートナーとの経験>Iris/Find/Vector#expOfPartner]]|&aname(tb_expOfPartner);COLOR(#008800):獲得パートナー信頼度上昇|''12%''|12%|''14%''|14%|''16%''|16%|''18%''|18%|''20%''|20%|
|~|COLOR(#008800):パートナー用獲得経験値上昇|-|''10''|10|''20''|20|''30''|30|''40''|40|''50''|
|||||||||||||
|[[精霊の加護>Iris/Find/Vector#SeireinoKago]]|&aname(tb_SeireinoKago);COLOR(#):パートナー攻撃○属性値＋上昇|''土属性5''|''風属性5''|''水属性5''|''火属性5''|''闇属性6''|''光属性6''|''無属性6''|無属性6|無属性6|無属性6|
|||||||||||||
|[[精霊の加護（火）>Iris/Find/Vector#SeireinoKagoFire]]|&aname(tb_SeireinoKagoFire);COLOR(#FF8800):パートナー近接攻撃＋上昇|''+5''|5|''+10''|10|10|10|10|10|10|10|
|~|パートナー攻撃火属性＋上昇|-|''+15''|15|''+50''|50|50|50|50|50|50|
|~|COLOR(#FF8800):パートナーフットワーク＋上昇|-|-|-|-|''+10''|10|10|10|10|10|
|~|COLOR(#FF8800):パートナーATK＋上昇|-|-|-|-|-|''+50''|50|''+100''|100|100|
|~|COLOR(#FF8800):パートナーATK％上昇|-|-|-|-|-|-|''5%''|5%|''10%''|10%|
|~|COLOR(#008800):パートナー用獲得経験値上昇|-|-|-|-|-|-|-|-|-|''100''|
|||||||||||||
|[[精霊の加護（水）>Iris/Find/Vector#SeireinoKagoWater]]|&aname(tb_SeireinoKagoWater);COLOR(#FF8800):パートナー近接攻撃＋上昇|''+5''|5|''+10''|10|10|10|10|10|10|10|
|~|パートナー攻撃水属性＋上昇|-|''+15''|15|''+50''|50|50|50|50|50|50|
|~|COLOR(#FF8800):パートナーフットワーク＋上昇|-|-|-|-|''+10''|10|10|10|10|10|
|~|COLOR(#FF8800):パートナーATK＋上昇|-|-|-|-|-|''+50''|50|''+100''|100|100|
|~|COLOR(#FF8800):パートナーATK％上昇|-|-|-|-|-|-|''5%''|5%|''10%''|10%|
|~|COLOR(#008800):パートナー用獲得経験値上昇|-|-|-|-|-|-|-|-|-|''100''|
|||||||||||||
|[[精霊の加護（風）>Iris/Find/Vector#SeireinoKagoWind]]|&aname(tb_SeireinoKagoWind);COLOR(#FF8800):パートナー近接攻撃＋上昇|''+5''|5|''+10''|10|10|10|10|10|10|10|
|~|パートナー攻撃風属性＋上昇|-|''+15''|15|''+50''|50|50|50|50|50|50|
|~|COLOR(#FF8800):パートナーフットワーク＋上昇|-|-|-|-|''+10''|10|10|10|10|10|
|~|COLOR(#FF8800):パートナーATK＋上昇|-|-|-|-|-|''+50''|50|''+100''|100|100|
|~|COLOR(#FF8800):パートナーATK％上昇|-|-|-|-|-|-|''5%''|5%|''10%''|10%|
|~|COLOR(#008800):パートナー用獲得経験値上昇|-|-|-|-|-|-|-|-|-|''100''|
|||||||||||||
|[[精霊の加護（土）>Iris/Find/Vector#SeireinoKagoEarth]]|&aname(tb_SeireinoKagoEarth);COLOR(#FF8800):パートナー近接攻撃＋上昇|''+5''|+5|''+10''|+10|+10|+10|+10|+10|+10|+10|
|~|COLOR(#):パートナー攻撃土属性値＋上昇|-|''+15''|+15|''+50''|+50|+50|+50|+50|+50|+50|
|~|COLOR(#FF8800):パートナーフットワーク＋上昇|-|-|-|-|''+10''|+10|+10|+10|+10|+10|
|~|COLOR(#FF8800):パートナーATK＋上昇|-|-|-|-|-|''+50''|+50|''+100''|+100|+100|
|~|COLOR(#FF8800):パートナーATK％上昇|-|-|-|-|-|-|''5%''|5%|''10%''|10%|
|~|COLOR(#008800):パートナー用獲得経験値上昇|-|-|-|-|-|-|-|-|-|''100''|
|||||||||||||
|[[精霊の加護（光）>Iris/Find/Vector#SeireinoKagoLight]]|&aname(tb_SeireinoKagoLight);COLOR(#FF8800):パートナー近接攻撃＋上昇|''+5''|5|''+10''|10|10|10|10|10|10|10|
|~|パートナー攻撃光属性＋上昇|-|''+15''|15|''+50''|50|50|50|50|50|50|
|~|COLOR(#FF8800):パートナーフットワーク＋上昇|-|-|-|-|''+10''|10|10|10|10|10|
|~|COLOR(#FF8800):パートナーATK＋上昇|-|-|-|-|-|''+50''|50|''+100''|100|100|
|~|COLOR(#FF8800):パートナーATK％上昇|-|-|-|-|-|-|''5%''|5%|''10%''|10%|
|~|COLOR(#008800):パートナー用獲得経験値上昇|-|-|-|-|-|-|-|-|-|''100''|
|||||||||||||
|[[精霊の加護（闇）>Iris/Find/Vector#SeireinoKagoDark]]|&aname(tb_SeireinoKagoDark);COLOR(#FF8800):パートナー近接攻撃＋上昇|''+5''|5|''+10''|10|10|10|10|10|10|10|
|~|パートナー攻撃闇属性＋上昇|-|''+15''|15|''+50''|50|50|50|50|50|50|
|~|COLOR(#FF8800):パートナーフットワーク＋上昇|-|-|-|-|''+10''|10|10|10|10|10|
|~|COLOR(#FF8800):パートナーATK＋上昇|-|-|-|-|-|''+50''|50|''+100''|100|100|
|~|COLOR(#FF8800):パートナーATK％上昇|-|-|-|-|-|-|''5%''|5%|''10%''|10%|
|~|COLOR(#008800):パートナー用獲得経験値上昇|-|-|-|-|-|-|-|-|-|''100''|
|||||||||||||
|[[パートナープロテクトの極意>Iris/Find/Vector#PartnerProtect]]|&aname(tb_PartnerProtect);ＰＰの獲得信頼度％上昇|''30''|30|30|''40''|40|40|''45''|45|45|''50''|
|~|COLOR(#FF8800):パートナーATK％上昇|-|''5''|5|5|5|5|5|5|5|5|
|~|COLOR(#FF8800):パートナーM.ATK％上昇|-|-|''5''|5|5|5|5|5|5|5|
|~|獲得パートナーポイント％上昇|-|-|-|-|''15''|15|15|''20''|20|20|
|~|ＰＰの個人貢献度％上昇|-|-|-|-|-|''15''|15|15|''20''|20|
|||||||||||||
|[[ターゲッティング>Iris/Find/Vector#Targeting]]|&aname(tb_targeting);COLOR(#FF8800):パートナーS.HIT＋上昇|''5''|5|''10''|10|10|10|''20''|20|20|20|
|~|COLOR(#FF8800):パートナーL.HIT＋上昇|-|''5''|5|''10''|10|10|10|''20''|20|20|
|~|COLOR(#FF8800):パートナーS.HIT％上昇|-|-|-|-|''10''|10|10|10|''15''|15|
|~|COLOR(#FF8800):パートナーL.HIT％上昇|-|-|-|-|-|''10''|10|10|10|''15''|
//
//
***非戦闘系[#tb_Other]
|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|c
|~アビリティベクトル|~リリースアビリティ|~Lv1|~Lv2|~Lv3|~Lv4|~Lv5|~Lv6|~Lv7|~Lv8|~Lv9|~Lv10|
|~|~|BGCOLOR(#DDDDDD):~&size(11){1～};|BGCOLOR(#DDDDDD):~&size(11){30～};|BGCOLOR(#DDDDDD):~&size(11){80～};|BGCOLOR(#DDDDDD):~&size(11){150～};|BGCOLOR(#DDDDDD):~&size(11){250～};|BGCOLOR(#DDDDDD):~&size(11){370～};|BGCOLOR(#DDDDDD):~&size(11){510～};|BGCOLOR(#DDDDDD):~&size(11){660～};|BGCOLOR(#DDDDDD):~&size(11){820～};|BGCOLOR(#DDDDDD):~&size(11){999};|
|LEFT:|LEFT:130|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|c
|[[釣りレア確率上昇>Iris/Find/Vector#FishingRare]]|&aname(tb_FishingRare);COLOR(#0080C0):釣りレア確率＋上昇|''1''|''3''|''5''|''10''|''30''|''50''|''70''|''100''|''150''|''300''|
|||||||||||||
|[[釣り大物確率上昇>Iris/Find/Vector#FishingBig]]|&aname(tb_FishingBig);COLOR(#0080C0):釣り大物確率＋上昇|''1''|''3''|''5''|''10''|''30''|''50''|''70''|''100''|''150''|''300''|
|||||||||||||
|[[促成栽培>Iris/Find/Vector#forcingculture]]|&aname(tb_forcingculture);COLOR(#0080C0):作物愛情度＋上昇|''1''|1|''2''|2|''3''|3|''4''|4|''5''|5|
|~|&aname(tb_);COLOR(#0080C0):作物成長度＋上昇|-|''1''|1|''2''|2|''3''|3|''4''|4|''5''|
|||||||||||||
|[[飛空城の達人>Iris/Find/Vector#FlyCastle]]|&aname(tb_FlyCastle);COLOR(#0080C0):獲得マテリアルＰ％上昇|''1''|''2''|''5''|''8''|8|''10''|''12''|''15''|''30''|30|
|~|&aname(tb_);COLOR(#0080C0):獲得エクスパンションＰ＋上昇|-|-|-|-|''1''|1|1|1|1|''2''|
|||||||||||||
|[[交渉の心得>Iris/Find/Vector#Negotiation]]|&aname(tb_Negotiation);COLOR(#66CC66):購入価格減少|''1''|1|''2''|2|''3''|3|''4''|4|''5''|5|
|~|COLOR(#66CC66):売却価格上昇|-|''1''|1|''2''|2|''3''|3|''4''|4|''5''|
|||||||||||||
|[[力強化成功率上昇>Iris/Find/Vector#powerEnhance]]|&aname(tb_powerEnhance);COLOR(#0080C0):力強化成功確率％上昇|''1%''|''2%''|''3%''|''4%''|''5%''|5%|5%|5%|5%|5%|
|||||||||||||
|[[クリティカル強化成功率上昇>Iris/Find/Vector#criticalEnhance]]|&aname(tb_criticalEnhance);COLOR(#0080C0):クリティカル強化成功確率％上昇|''1%''|''2%''|''3%''|''4%''|''5%''|5%|5%|5%|5%|5%|
|||||||||||||
|[[魔力強化成功率上昇>Iris/Find/Vector#magicEnhance]]|&aname(tb_magicEnhance);COLOR(#0080C0):魔力強化成功確率％上昇|''1%''|''2%''|''3%''|''4%''|''5%''|5%|5%|5%|5%|5%|
|||||||||||||
|[[命強化成功率上昇>Iris/Find/Vector#lifeEnhanceUp]]|&aname(tb_lifeEnhanceUp);COLOR(#0080C0):命強化成功確率％上昇|''1%''|''2%''|''3%''|''4%''|''5%''|5%|5%|5%|5%|5%|
|||||||||||||
|[[オシャレの秘訣>Iris/Find/Vector#OsyarenoHiketu]]|&aname(tb_OsyarenoHiketu);COLOR(#0080C0):スケール変更|''50''|''60''|''70''|''80''|''85''|''90''|''95''|''105''|''110''|''120''|
|~|~|>|>|>|>|>|>|>|>|>|LEFT:LvによってPCの大きさが変わる。Lv1で通常の0.5倍になり、Lv10で通常の1.2倍の大きさになる。|
|||||||||||||
|[[ありふれた奇跡>Iris/Find/Vector#ArifuretaKiseki]]|&aname(tb_ArifuretaKiseki);クエスト報酬％上昇|''2''|2|2|''4''|4|4|''7''|7|7|''10''|
|~|クエスト報酬EP＋上昇|-|''5''|5|5|''10''|10|10|''15''|15|15|
|~|クエスト報酬MP＋上昇|-|-|''250''|250|250|''500''|500|500|''800''|800|
|~|>|>|>|>|>|>|>|>|>|>|LEFT:クエスト報酬MPはクエスト報酬マテリアルポイントを示す。|
|||||||||||||
|[[成長の喜び>Iris/Find/Vector#SeityounoYorokobi]]|&aname(tb_SeityounoYorokobi);スロット拡張成功確率％上昇|''1''|1|''2''|2|''3''|3|''4''|4|''5''|5|
|~|カードアセンブル成功確率％上昇|-|''1''|1|''2''|2|''3''|3|''4''|4|''5''|
//
//
***アクエリアンエイジ[#tb_AquarianAge]
|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|c
|~アビリティベクトル|~リリースアビリティ|~Lv1|~Lv2|~Lv3|~Lv4|~Lv5|~Lv6|~Lv7|~Lv8|~Lv9|~Lv10|
|~|~|BGCOLOR(#DDDDDD):~&size(11){1～};|BGCOLOR(#DDDDDD):~&size(11){30～};|BGCOLOR(#DDDDDD):~&size(11){80～};|BGCOLOR(#DDDDDD):~&size(11){150～};|BGCOLOR(#DDDDDD):~&size(11){250～};|BGCOLOR(#DDDDDD):~&size(11){370～};|BGCOLOR(#DDDDDD):~&size(11){510～};|BGCOLOR(#DDDDDD):~&size(11){660～};|BGCOLOR(#DDDDDD):~&size(11){820～};|BGCOLOR(#DDDDDD):~&size(11){999};|
|LEFT:|LEFT:130|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|c
|[[トレスパス>IrisCard/ExIrisCard0#AC03-0010]]|&aname(tb_trespass);COLOR(#555555):Guard率％上昇|''1%''|1%|''2%''|2%|''3%''|3%|3%|3%|''5%''|5%|
|~|COLOR(#0088CC):クリティカル％上昇|-|''3%''|3%|3%|3%|''7%''|''9%''|9%|9%|''11%''|
|~|COLOR(#DDA500):SP回復力％上昇|-|-|-|''10%''|10%|10%|10%|10%|10%|10%|
|~|COLOR(#FF6600):DEX＋上昇|-|-|-|-|-|-|-|''+1''|+1|+1|
|||||||||||||
|[[榊巫女>IrisCard/ExIrisCard0#AC03-0020]]|&aname(tb_sakakiNoMiko);COLOR(#555555):被物理ダメージ％減少|''2%''|2%|2%|2%|''6%''|6%|6%|6%|6%|''10%''|
|~|COLOR(#FF8800):DEF＋上昇|-|''+4''|+4|+4|+4|''+9''|+9|+9|''+14''|+14|
|~|COLOR(#222288):防具防御力＋上昇|-|-|''+8''|+8|+8|+8|''+23''|+23|+23|+23|
|~|COLOR(#222288):防具防御力％上昇|-|-|-|''10%''|10%|10%|10%|''20%''|20%|20%|
|||||||||||||
|[[黒の大魔導師>IrisCard/ExIrisCard0#AC03-0030]]|&aname(tb_blackArchmage);COLOR(#FF8800):M.ATK値＋上昇|''+2''|+2|''+4''|+4|''+7''|+7|''+11''|+11|+11|''+15''|
|~|COLOR(#AA00AA):MP最大値＋上昇|-|''+20''|+20|''+50''|+50|''+120''|+120|+120|+120|+120|
|~|COLOR(#FF6600):INT＋上昇|-|-|-|-|-|-|-|''+1''|+1|+1|
|~|COLOR(#FF6600):MAG＋上昇|-|-|-|-|-|-|-|-|''+1''|+1|
|||||||||||||
|[[ヴァンパイア・ハイブリッド>IrisCard/ExIrisCard0#AC03-0040]]|&aname(tb_vampireHybrid);COLOR(#4444FF):HP回復力％上昇|''5%''|5%|''10%''|10%|''15%''|15%|15%|15%|15%|15%|
|~|COLOR(#DDA500):SP回復力％上昇|-|''5%''|5%|''10%''|10%|''15%''|15%|15%|15%|15%|
|~|COLOR(#FF6600):VIT＋上昇|-|-|-|-|-|-|''+1''|+1|+1|+1|
|~|COLOR(#FF6600):DEX＋上昇|-|-|-|-|-|-|-|''+1''|+1|+1|
|~|COLOR(#FF6600):MAG＋上昇|-|-|-|-|-|-|-|-|''+1''|+1|
|~|COLOR(#4444FF):HP最大値＋上昇|-|-|-|-|-|-|-|-|-|''+2000''|
|||||||||||||
|[[エルヴン・ストライカー>IrisCard/ExIrisCard0#AC03-0050]]|&aname(tb_elvenStriker);COLOR(#CC3300):武器攻撃力＋上昇|''+3''|+3|+3|+3|+3|+3|+3|+3|+3|+3|
|~|COLOR(#FF8800):S.HIT値％上昇|-|''5%''|5%|5%|5%|''8%''|8%|8%|8%|''12%''|
|~|COLOR(#FF8800):ATK値＋上昇|-|-|''+4''|+4|+4|+4|+4|''+7''|+7|+7|
|~|COLOR(#0088CC):クリティカル％上昇|-|-|-|''5%''|5%|5%|''10%''|10%|10%|10%|
|~|COLOR(#FF8800):S.HIT値＋上昇|-|-|-|-|''+10''|+10|+10|+10|''+18''|+18|
|||||||||||||
|[[女帝竜>IrisCard/ExIrisCard0#AC03-0060]]|&aname(tb_empressDragon);COLOR(#008800):パートナー用獲得経験値上昇|''10''|10|''15''|15|''20''|20|''30''|30|''60''|60|
|~|COLOR(#0088CC):クリティカル％上昇|-|''3%''|3%|''5%''|5%|''7%''|7%|''9%''|9%|9%|
|~|COLOR(#FF6600):STR＋上昇|-|-|-|-|-|-|-|-|-|''+1''|
|||||||||||||
|[[ピュア・ブライトネス>IrisCard/ExIrisCard0#AC03-1010]]|&aname(tb_pureBrightness);COLOR(#DDA500):SP最大値＋上昇|''+20''|+20|''+50''|+50|+50|''+100''|+100|+100|+100|''+150''|
|~|COLOR(#555555):被物理ダメージ％減少|-|''2%''|2%|''4%''|4%|4%|''6%''|6%|6%|6%|
|~|COLOR(#FF8800):ATK値＋上昇|-|-|-|-|''+3''|+3|+3|''+5''|+5|+5|
|~|COLOR(#FF6600):DEX＋上昇|-|-|-|-|-|-|-|-|''+1''|+1|
|||||||||||||
|[[現巫女>IrisCard/ExIrisCard0#AC03-1020]]|&aname(tb_utsutsuNoMiko);COLOR(#FF8800):DEF＋上昇|''+2''|+2|+2|+2|''+6''|+6|+6|+6|+6|''+10''|
|~|COLOR(#222288):防具防御力％上昇|-|''5%''|5%|5%|5%|''10%''|10%|10%|10%|10%|
|~|COLOR(#222288):防具防御力＋上昇|-|-|''+10''|+10|+10|+10|''+13''|+13|+13|+13|
|~|COLOR(#555555):Guard率％上昇|-|-|-|''3%''|3%|3%|3%|''5%''|5%|5%|
|~|COLOR(#555555):被物理ダメージ減少|-|-|-|-|-|-|-|-|''7%''|7%|
|||||||||||||
|[[サイレントウィッチ>IrisCard/ExIrisCard0#AC03-1030]]|&aname(tb_silentWitch);COLOR(#0088CC):クリティカル％上昇|''2%''|2%|''4%''|4%|''6%''|6%|''8%''|8%|8%|''10%''|
|~|COLOR(#FF0000):Lv差命中減少％軽減|-|''10%''|10%|''20%''|20%|''30%''|30%|''50%''|''80%''|80%|
|||||||||||||
|[[涼風鬼姫>IrisCard/ExIrisCard0#AC03-1040]]|&aname(tb_suzukazeNoOnihime);COLOR(#222288):防具防御力＋上昇|''+3''|+3|''+6''|+6|''+10''|+10|''+13''|+13|+13|''+20''|
|~|COLOR(#4444FF):HP最大値＋上昇|-|''+40''|+40|''+100''|+100|''+200''|+200|''+500''|+500|+500|
|~|COLOR(#FF6600):VIT＋上昇|-|-|-|-|-|-|-|-|''+1''|+1|
|||||||||||||
|[[ドラゴンナイト>IrisCard/ExIrisCard0#AC03-1050]]|&aname(tb_dragonKnight);COLOR(#66CC66):キャパシティ％上昇|''5%''|5%|5%|''10%''|10%|10%|''15%''|15%|15%|15%|
|~|COLOR(#008800):パートナー用獲得経験値上昇|-|''12''|12|12|''18''|18|18|''30''|30|''50''|
|~|COLOR(#66CC66):ペイロード％上昇|-|-|''7%''|7%|7%|''13%''|13%|13%|''20%''|20%|
|||||||||||||
|[[総参謀長>IrisCard/ExIrisCard0#AC03-1060]]|&aname(tb_chiefOfStaff);COLOR(#222288):防具防御力＋上昇|''+3''|+3|+3|+3|+3|''+10''|+10|+10|+10|+10|
|~|COLOR(#CC3300):武器攻撃力％上昇|-|''5%''|5%|5%|5%|5%|''10%''|10%|10%|10%|
|~|COLOR(#FF8800):DEF＋上昇|-|-|''+5''|+5|+5|+5|+5|''+9''|+9|+9|
|~|COLOR(#FF8800):L.HIT値＋上昇|-|-|-|''+10''|+10|+10|+10|+10|''+20''|+20|
|~|COLOR(#FF8800):L.HIT値％上昇|-|-|-|-|''10%''|10%|10%|10%|10%|''15%''|
|||||||||||||
|[[サイキック・プライマル>IrisCard/ExIrisCard0#AC03-2010]]|&aname(tb_psychicPrimal);COLOR(#CC3300):武器攻撃力＋上昇|''+3''|+3|+3|+3|''+9''|+9|+9|+9|''+15''|+15|
|~|COLOR(#222288):防具防御力＋上昇|-|''+4''|+4|+4|+4|''+9''|+9|+9|+9|''+15''|
|~|COLOR(#CC3300):武器攻撃力％上昇|-|-|''5%''|5%|5%|5%|''10%''|10%|10%|10%|
|~|COLOR(#222288):防具防御力％上昇|-|-|-|''5%''|5%|5%|5%|''10%''|10%|10%|
|||||||||||||
|[[太極拳法家>IrisCard/ExIrisCard0#AC03-2020]]|&aname(tb_taikyokukenpouka);COLOR(#FF0000):Lv差命中減少％軽減|''10%''|10%|10%|''20%''|20%|20%|''40%''|40%|''65%''|65%|
|~|COLOR(#4444FF):HP最大値＋上昇|-|''+60''|+60|+60|''+120''|+120|+120|+120|+120|+120|
|~|COLOR(#4444FF):HP回復力％上昇|-|-|''6%''|6%|6%|''10%''|10%|''15%''|15%|15%|
